calibration_split,sampling_stratum,source_file,id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
tuning,pass,python.csv,95080074,isaac-sim/IsaacLab,false,1577,13,23,3751,Python,main,BSD 3-Clause New or Revised License,https://isaac-sim.github.io/IsaacLab,64,7651,197,666005,2022-11-16T11:55:13,2026-07-11T12:09:59,2026-07-11T12:36:34,2503,406,3009,327,52276,167166,71054,"[{""codeLines"":2914,""blankLines"":6,""language"":""JSON"",""commentLines"":0},{""codeLines"":29,""blankLines"":0,""language"":""HTML"",""commentLines"":0},{""codeLines"":113114,""blankLines"":37325,""language"":""Python"",""commentLines"":58159},{""codeLines"":89,""blankLines"":13,""language"":""CSS"",""commentLines"":10},{""codeLines"":566,""blankLines"":49,""language"":""DOS Batch"",""commentLines"":129},{""codeLines"":11521,""blankLines"":2,""language"":""SVG"",""commentLines"":2},{""codeLines"":233,""blankLines"":62,""language"":""TOML"",""commentLines"":44},{""codeLines"":12,""blankLines"":3,""language"":""make"",""commentLines"":4},{""codeLines"":198,""blankLines"":5,""language"":""Jinja Template"",""commentLines"":0},{""codeLines"":7767,""blankLines"":1737,""language"":""Text"",""commentLines"":0},{""codeLines"":11344,""blankLines"":1326,""language"":""YAML"",""commentLines"":2420},{""codeLines"":3,""blankLines"":0,""language"":""INI"",""commentLines"":0},{""codeLines"":739,""blankLines"":128,""language"":""Bourne Shell"",""commentLines"":269},{""codeLines"":693,""blankLines"":31,""language"":""XML"",""commentLines"":38},{""codeLines"":1150,""blankLines"":408,""language"":""Markdown"",""commentLines"":31},{""codeLines"":185,""blankLines"":22,""language"":""TeX"",""commentLines"":0},{""codeLines"":16406,""blankLines"":11099,""language"":""reStructuredText"",""commentLines"":9862},{""codeLines"":203,""blankLines"":60,""language"":""Dockerfile"",""commentLines"":86}]",2026-06-12T10:12:35,b4c321024792976150ca55fddb26fa34480d974e,false,false,false,false,"{""Python"":8242098,""Kit"":76249,""Shell"":42995,""Batchfile"":23952,""Jinja"":6097,""Dockerfile"":879}",BOT Generated;asset;bug;ci-arm-only;dev team;documentation;duplicate;enhancement;good first issue;help wanted;infrastructure;isaac-lab;isaac-mimic;isaac-sim;question;verify;windows;wontfix,isaac-sim;omniverse-kit-extension;robot-learning;robotics
holdout,pass,python.csv,6860116,opendronemap/webodm,false,3283,2,57,1151,Python,master,GNU Affero General Public License v3.0,https://webodm.org,145,3820,96,111719,2016-08-08T02:08:22,2026-04-01T05:26:50,2026-04-01T08:54:56,1154,24,684,1,53654,285507,19314,"[{""codeLines"":17702,""blankLines"":66,""language"":""SVG"",""commentLines"":78},{""codeLines"":3,""blankLines"":1,""language"":""TOML"",""commentLines"":0},{""codeLines"":465,""blankLines"":23,""language"":""Text"",""commentLines"":0},{""codeLines"":3816,""blankLines"":565,""language"":""HTML"",""commentLines"":78},{""codeLines"":17630,""blankLines"":4849,""language"":""Python"",""commentLines"":2356},{""codeLines"":6310,""blankLines"":632,""language"":""CSS"",""commentLines"":271},{""codeLines"":1,""blankLines"":0,""language"":""XML"",""commentLines"":0},{""codeLines"":6,""blankLines"":1,""language"":""TypeScript"",""commentLines"":0},{""codeLines"":2,""blankLines"":1,""language"":""DOS Batch"",""commentLines"":2},{""codeLines"":155,""blankLines"":34,""language"":""Bourne Again Shell"",""commentLines"":0},{""codeLines"":4391,""blankLines"":729,""language"":""SCSS"",""commentLines"":49},{""codeLines"":177,""blankLines"":25,""language"":""Dockerfile"",""commentLines"":53},{""codeLines"":1093,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":43,""blankLines"":7,""language"":""Ruby"",""commentLines"":12},{""codeLines"":79,""blankLines"":5,""language"":""ERB"",""commentLines"":12},{""codeLines"":4,""blankLines"":0,""language"":""SQL"",""commentLines"":0},{""codeLines"":14892,""blankLines"":2460,""language"":""JSX"",""commentLines"":1072},{""codeLines"":1226,""blankLines"":199,""language"":""Bourne Shell"",""commentLines"":117},{""codeLines"":210632,""blankLines"":42597,""language"":""JavaScript"",""commentLines"":15129},{""codeLines"":15,""blankLines"":9,""language"":""PHP"",""commentLines"":0},{""codeLines"":275,""blankLines"":10,""language"":""YAML"",""commentLines"":18},{""codeLines"":1644,""blankLines"":555,""language"":""Markdown"",""commentLines"":2},{""codeLines"":4946,""blankLines"":886,""language"":""Sass"",""commentLines"":65}]",2026-04-01T05:26:45,9ed975ae47508374e751e4c0c2bf4c6eb0acbd58,false,false,false,false,"{""Python"":896877,""JavaScript"":698463,""HTML"":111807,""SCSS"":88228,""Shell"":56880,""CSS"":36987,""Dockerfile"":11166,""Go Template"":2196,""Ruby"":2014,""Batchfile"":288}",enhancement;firefox;possible software fault;software fault;windows,drone;maps;photogrammetry;point-cloud;uav
tuning,review,python.csv,3957185,pycontribs/jira,false,1700,21,34,890,Python,main,BSD 2-Clause Simplified License,https://jira.readthedocs.io,78,2127,210,4466,2014-06-28T02:06:53,2026-07-27T05:01:05,2026-07-30T02:20:43,765,175,1214,61,2940,11299,3447,"[{""codeLines"":845,""blankLines"":104,""language"":""YAML"",""commentLines"":107},{""codeLines"":42,""blankLines"":18,""language"":""Dockerfile"",""commentLines"":69},{""codeLines"":104,""blankLines"":31,""language"":""Markdown"",""commentLines"":0},{""codeLines"":107,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":145,""blankLines"":18,""language"":""XML"",""commentLines"":63},{""codeLines"":151,""blankLines"":31,""language"":""Bourne Shell"",""commentLines"":98},{""codeLines"":146,""blankLines"":5,""language"":""INI"",""commentLines"":0},{""codeLines"":556,""blankLines"":318,""language"":""reStructuredText"",""commentLines"":192},{""codeLines"":2,""blankLines"":0,""language"":""Text"",""commentLines"":0},{""codeLines"":8972,""blankLines"":2391,""language"":""Python"",""commentLines"":2897},{""codeLines"":229,""blankLines"":24,""language"":""TOML"",""commentLines"":21}]",2026-05-01T11:43:02,bf7306b8b3905c91f97401eaae61d04827e1c309,false,false,false,false,"{""Python"":509396,""Shell"":11215,""Dockerfile"":6024,""Makefile"":3879}",bug;chore;ci;dependencies;docs;duplicate;enhancement;feat;feature;fix;good first issue;hacktoberfest;help wanted;invalid;major;minor;needs: research;patch;skip-changelog;stale;status: blocked;status: in progress;status: needs info;status: needs rework;status: ready;status: ready for merge;status: ready for release;test;wontfix,jira;python;python3-only
holdout,review,python.csv,64750043,textualize/textual,false,13103,94,223,1259,Python,main,MIT License,https://textual.textualize.io/,182,36612,185,496942,2021-04-08T03:24:47,2026-07-11T06:02:34,2026-07-15T12:26:06,2421,218,2795,88,40530,183502,30121,"[{""codeLines"":74092,""blankLines"":3257,""language"":""SVG"",""commentLines"":520},{""codeLines"":117,""blankLines"":11,""language"":""TOML"",""commentLines"":10},{""codeLines"":11,""blankLines"":5,""language"":""INI"",""commentLines"":0},{""codeLines"":40,""blankLines"":12,""language"":""HTML"",""commentLines"":2},{""codeLines"":1,""blankLines"":0,""language"":""Text"",""commentLines"":0},{""codeLines"":85206,""blankLines"":26609,""language"":""Python"",""commentLines"":29307},{""codeLines"":98,""blankLines"":21,""language"":""CSS"",""commentLines"":2},{""codeLines"":19232,""blankLines"":10166,""language"":""Markdown"",""commentLines"":159},{""codeLines"":623,""blankLines"":36,""language"":""YAML"",""commentLines"":28},{""codeLines"":83,""blankLines"":25,""language"":""make"",""commentLines"":0},{""codeLines"":209,""blankLines"":10,""language"":""Jinja Template"",""commentLines"":1},{""codeLines"":1669,""blankLines"":326,""language"":""Scheme"",""commentLines"":88},{""codeLines"":177,""blankLines"":52,""language"":""TypeScript"",""commentLines"":4},{""codeLines"":1944,""blankLines"":0,""language"":""JSON"",""commentLines"":0}]",2026-07-11T06:02:34,06dbeef4bb70fb718236aa418ed658ef4667a126,true,false,false,false,"{""Python"":4158607,""Tree-sitter Query"":32213,""Jinja"":11112,""Scheme"":8343,""CSS"":6932,""TypeScript"":4869,""Makefile"":2353}",bug;can not reproduce;documentation;duplicate;enhancement;europython;good first issue;help wanted;invalid;level:easy;level:hard;level:moderate;mistral;needs discussion;on hold;question;task;wontfix,cli;framework;python;rich;terminal;tui
tuning,not_found,python.csv,94752826,harry0703/MoneyPrinterTurbo,false,679,1,16,15021,Python,main,MIT License,,632,100807,69,535416,2024-03-11T02:57:34,2026-07-30T08:50:59,2026-07-31T10:50:26,750,6,333,5,4806,28832,3311,"[{""codeLines"":327,""blankLines"":40,""language"":""YAML"",""commentLines"":14},{""codeLines"":42,""blankLines"":9,""language"":""DOS Batch"",""commentLines"":1},{""codeLines"":3882,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":84,""blankLines"":21,""language"":""Dockerfile"",""commentLines"":29},{""codeLines"":191,""blankLines"":4,""language"":""TypeScript"",""commentLines"":13},{""codeLines"":82,""blankLines"":0,""language"":""Jupyter Notebook"",""commentLines"":107},{""codeLines"":178,""blankLines"":71,""language"":""TOML"",""commentLines"":190},{""codeLines"":22057,""blankLines"":3925,""language"":""Python"",""commentLines"":2912},{""codeLines"":341,""blankLines"":63,""language"":""CSS"",""commentLines"":35},{""codeLines"":650,""blankLines"":313,""language"":""Text"",""commentLines"":0},{""codeLines"":18,""blankLines"":1,""language"":""HTML"",""commentLines"":0},{""codeLines"":872,""blankLines"":345,""language"":""Markdown"",""commentLines"":0},{""codeLines"":51,""blankLines"":0,""language"":""SVG"",""commentLines"":0},{""codeLines"":57,""blankLines"":14,""language"":""Bourne Shell"",""commentLines"":10}]",2026-07-30T08:50:51,e5bb283d2f3cec00ac9b32c306b0387fbedfb9cb,true,false,false,false,"{""Python"":1192279,""CSS"":13438,""TypeScript"":6432,""Dockerfile"":4285,""Shell"":2890,""Batchfile"":2872,""HTML"":689}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;suggestion;wontfix,ai-video-generator;content-creation;ffmpeg;instagram-reels;llm;python;short-video;subtitles;text-to-speech;tiktok;video-automation;video-workflow;workflow-automation;youtube-shorts
tuning,pass,ts.csv,94583190,BetterTyped/react-zoom-pan-pinch,false,498,13,27,303,TypeScript,master,MIT License,https://bettertyped.github.io/react-zoom-pan-pinch/?path=/docs/basic-image--docs,7,1904,54,56511,2019-07-14T02:34:27,2026-07-26T03:18:29,2026-07-25T06:28:59,371,112,205,20,6417,57236,807,"[{""codeLines"":10481,""blankLines"":3554,""language"":""Markdown"",""commentLines"":23},{""codeLines"":547,""blankLines"":84,""language"":""CSS"",""commentLines"":13},{""codeLines"":143,""blankLines"":35,""language"":""Bourne Shell"",""commentLines"":43},{""codeLines"":195,""blankLines"":18,""language"":""HTML"",""commentLines"":1},{""codeLines"":131,""blankLines"":21,""language"":""YAML"",""commentLines"":7},{""codeLines"":383,""blankLines"":0,""language"":""JSON"",""commentLines"":0},{""codeLines"":26015,""blankLines"":2613,""language"":""TypeScript"",""commentLines"":698},{""codeLines"":416,""blankLines"":73,""language"":""JavaScript"",""commentLines"":21},{""codeLines"":18925,""blankLines"":19,""language"":""SVG"",""commentLines"":1}]",2026-07-11T08:18:52,70084ddd1a8645136b8c6f18f4e051fa65665af0,true,false,false,false,"{""TypeScript"":842991,""MDX"":64375,""JavaScript"":15467,""CSS"":13057,""HTML"":7703,""Shell"":6239}",bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;javascript;question;released;semantic-release;size/l;size/m;size/s;size/xl;size/xs;size/xxl;wontfix,figma;gesture;html-manipulation;miro;pan;pinch;react;react-component;svg;zoom;zoomin;zoomout
holdout,pass,ts.csv,95597717,anomalyco/opencode,false,14227,679,826,21639,TypeScript,dev,MIT License,https://opencode.ai,684,177206,454,290868,2025-04-30T08:08:00,2026-06-22T09:33:22,2026-06-22T10:52:54,18937,6313,13929,1077,116044,1000090,17372,"[{""codeLines"":8,""blankLines"":1,""language"":""INI"",""commentLines"":0},{""codeLines"":1131,""blankLines"":79,""language"":""HTML"",""commentLines"":0},{""codeLines"":474,""blankLines"":84,""language"":""Bourne Again Shell"",""commentLines"":25},{""codeLines"":1133,""blankLines"":150,""language"":""Astro"",""commentLines"":16},{""codeLines"":93,""blankLines"":31,""language"":""Dockerfile"",""commentLines"":3},{""codeLines"":328334,""blankLines"":12,""language"":""JSON"",""commentLines"":0},{""codeLines"":455721,""blankLines"":47124,""language"":""TypeScript"",""commentLines"":15961},{""codeLines"":15804,""blankLines"":11,""language"":""SVG"",""commentLines"":0},{""codeLines"":631,""blankLines"":54,""language"":""Diff"",""commentLines"":555},{""codeLines"":838,""blankLines"":162,""language"":""Rust"",""commentLines"":69},{""codeLines"":549,""blankLines"":0,""language"":""SQL"",""commentLines"":15},{""codeLines"":29238,""blankLines"":4451,""language"":""CSS"",""commentLines"":558},{""codeLines"":118,""blankLines"":21,""language"":""Bourne Shell"",""commentLines"":20},{""codeLines"":2281,""blankLines"":408,""language"":""YAML"",""commentLines"":86},{""codeLines"":293,""blankLines"":43,""language"":""Nix"",""commentLines"":41},{""codeLines"":160594,""blankLines"":62843,""language"":""Markdown"",""commentLines"":7},{""codeLines"":987,""blankLines"":88,""language"":""JavaScript"",""commentLines"":12},{""codeLines"":27,""blankLines"":0,""language"":""XML"",""commentLines"":0},{""codeLines"":1761,""blankLines"":466,""language"":""Text"",""commentLines"":0},{""codeLines"":57,""blankLines"":13,""language"":""PowerShell"",""commentLines"":0},{""codeLines"":18,""blankLines"":3,""language"":""TOML"",""commentLines"":4}]",2026-06-22T04:17:10,cd292a4ecbaeedd19239edddca77f86d9727c9ae,false,false,false,false,"{""TypeScript"":18389121,""MDX"":7244854,""CSS"":809317,""HTML"":47566,""JavaScript"":35441,""Astro"":32509,""Rust"":31282,""Shell"":22559,""Nix"":9176,""Dockerfile"":3696,""PowerShell"":2301}",acp;automated-pr-cleanup;bad;bald-beard;beta;bug;contributor;core;discussion;docs;documentation;enhancement;ex;extension;good first issue;growth;help-wanted;linux;mcp;model-problem;needs:compliance;needs:issue;needs:title;nix;opentui;perf;theme;tui;vouched;web;windows;zen,
tuning,review,ts.csv,95297373,openfrontio/OpenFrontIO,false,4285,361,235,1220,TypeScript,main,GNU Affero General Public License v3.0,https://openfront.io/,13,2431,237,598786,2024-12-12T01:27:03,2026-07-27T11:16:37,2026-07-27T05:27:10,1346,118,3388,29,24954,312498,20549,"[{""codeLines"":3121,""blankLines"":674,""language"":""GLSL"",""commentLines"":592},{""codeLines"":1950,""blankLines"":122,""language"":""HTML"",""commentLines"":37},{""codeLines"":128646,""blankLines"":5,""language"":""JSON"",""commentLines"":0},{""codeLines"":1326,""blankLines"":208,""language"":""Go"",""commentLines"":279},{""codeLines"":154587,""blankLines"":19413,""language"":""TypeScript"",""commentLines"":12546},{""codeLines"":98,""blankLines"":90,""language"":""XML"",""commentLines"":88},{""codeLines"":58,""blankLines"":19,""language"":""Dockerfile"",""commentLines"":16},{""codeLines"":4698,""blankLines"":59,""language"":""SVG"",""commentLines"":72},{""codeLines"":816,""blankLines"":198,""language"":""Text"",""commentLines"":0},{""codeLines"":2212,""blankLines"":314,""language"":""CSS"",""commentLines"":30},{""codeLines"":10,""blankLines"":2,""language"":""INI"",""commentLines"":0},{""codeLines"":2068,""blankLines"":666,""language"":""Markdown"",""commentLines"":0},{""codeLines"":8806,""blankLines"":2631,""language"":""C/C++ Header"",""commentLines"":6365},{""codeLines"":2641,""blankLines"":366,""language"":""JavaScript"",""commentLines"":366},{""codeLines"":697,""blankLines"":137,""language"":""Bourne Shell"",""commentLines"":146},{""codeLines"":764,""blankLines"":50,""language"":""YAML"",""commentLines"":12}]",2026-07-27T05:26:25,3e1de8f7a184193b00c50929bdceb92bcdd9f92e,false,false,false,false,"{""TypeScript"":5806331,""C++"":678832,""C"":286035,""GLSL"":156709,""JavaScript"":121941,""HTML"":79196,""Go"":56782,""CSS"":44198,""Shell"":32809,""Dockerfile"":2576}",QoL-improvement;Will not stale;appears-ai-generated;approved;area:client;area:core;area:map-generator;area:other;area:server;auto-closed-billing;auto-closed-feature;auto-closed-needs-issue;auto-closed-question;auto-closed-security;auto-closed-stale;auto-closed-support;auto-closed-translation;backend;bug;bugfix;bypass-pr-check;claude-triaged;dependencies;devops;feature;gameplay;github_actions;good first issue;javascript;keep-open;maps;meta;monetization;needs-grooming;needs-info;needs-maintainer-triage;not-approved;orphaned;performance;possible-duplicate;refactor;release blocker;roadmap;small-fix;stale;support ticket;translation;triage-ready;ui/ux,browser-game;game;io-game;rts;rts-game
holdout,review,ts.csv,7555673,stalniy/casl,false,1814,52,273,304,TypeScript,master,MIT License,https://casl.js.org/,40,7015,72,23653,2017-07-18T05:49:47,2026-07-27T09:45:31,2026-07-27T09:40:04,515,10,628,16,8217,43375,240,"[{""codeLines"":11528,""blankLines"":2834,""language"":""YAML"",""commentLines"":6},{""codeLines"":6628,""blankLines"":3569,""language"":""Markdown"",""commentLines"":14},{""codeLines"":13298,""blankLines"":2,""language"":""JSON"",""commentLines"":0},{""codeLines"":6042,""blankLines"":1105,""language"":""TypeScript"",""commentLines"":109},{""codeLines"":1,""blankLines"":0,""language"":""TOML"",""commentLines"":2},{""codeLines"":1357,""blankLines"":0,""language"":""Text"",""commentLines"":0},{""codeLines"":30,""blankLines"":2,""language"":""CSS"",""commentLines"":2},{""codeLines"":109,""blankLines"":13,""language"":""HTML"",""commentLines"":2},{""codeLines"":2,""blankLines"":2,""language"":""Bourne Again Shell"",""commentLines"":0},{""codeLines"":3853,""blankLines"":676,""language"":""JavaScript"",""commentLines"":102},{""codeLines"":20,""blankLines"":3,""language"":""Prisma Schema"",""commentLines"":0},{""codeLines"":45,""blankLines"":10,""language"":""Bourne Shell"",""commentLines"":0},{""codeLines"":449,""blankLines"":0,""language"":""SVG"",""commentLines"":1},{""codeLines"":13,""blankLines"":1,""language"":""SQL"",""commentLines"":2}]",2026-07-27T09:39:56,f57374df43cf9a30e8c25de14374808333133c15,false,false,false,false,"{""TypeScript"":239426,""JavaScript"":110932,""HTML"":7073,""CSS"":1075,""Shell"":56}",autorelease: pending;autorelease: tagged;breaking change;bug;casl/ability;casl/angular;casl/aurelia;casl/mongoose;casl/react;casl/vue;cookbook idea;dependencies;discussion;docs;duplicate;enhancement;help wanted;ide;javascript;maintenance;question;released;semantic-release;status: define requirements;status: invalid;status: needs more info;unconfirmed;wontfix,acl;authorization;cancan;casl;isomorphic-javascript;permissions
tuning,not_found,ts.csv,95239699,Zephyruso/zashboard,false,1154,11,223,364,TypeScript,main,MIT License,,10,3129,15,27654,2024-11-11T05:17:05,2026-07-27T08:58:51,2026-07-27T02:55:04,405,4,318,3,6072,39371,2561,"[{""codeLines"":678,""blankLines"":69,""language"":""CSS"",""commentLines"":9},{""codeLines"":55,""blankLines"":1,""language"":""HTML"",""commentLines"":0},{""codeLines"":42,""blankLines"":0,""language"":""SVG"",""commentLines"":0},{""codeLines"":6,""blankLines"":0,""language"":""INI"",""commentLines"":0},{""codeLines"":15396,""blankLines"":1294,""language"":""Vuejs Component"",""commentLines"":198},{""codeLines"":11,""blankLines"":8,""language"":""Dockerfile"",""commentLines"":0},{""codeLines"":1469,""blankLines"":1300,""language"":""Markdown"",""commentLines"":0},{""codeLines"":12757,""blankLines"":1816,""language"":""TypeScript"",""commentLines"":2349},{""codeLines"":31,""blankLines"":3,""language"":""JavaScript"",""commentLines"":4},{""codeLines"":577,""blankLines"":92,""language"":""Protocol Buffers"",""commentLines"":0},{""codeLines"":8204,""blankLines"":1487,""language"":""YAML"",""commentLines"":1},{""codeLines"":145,""blankLines"":2,""language"":""JSON"",""commentLines"":0}]",2026-07-27T08:57:17,29e251637f4d76db7141dedb9da938bb244cd824,false,false,false,false,"{""TypeScript"":530746,""Vue"":500903,""CSS"":18568,""HTML"":1287,""JavaScript"":873,""Dockerfile"":264}",autorelease: pending;autorelease: tagged;bug;dependencies;documentation;duplicate;enhancement;good first issue;help wanted;invalid;javascript;question;wontfix,
